Rank,Team,Year,Playoff Wins,Champion,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,2P,2PA,2P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG_perc,O_3P,O_3PA,O_3P_perc,O_2P,O_2PA,O_2P_perc,O_FT,O_FTA,O_FT_perc,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG_perc,TOV_perc,ORB_perc,FT/FGA,eFG_perc_1,TOV_perc_2,DRB_perc,FT/FGA_3,Attendance
1,Golden State Warriors,2022,16,1,24,17,21,10,3,3,8,24,29,3,26,26,17,20,2,7,5,4,18,29,27,15,24,2,9,2,15,20,3,2,8,2,19,24,5,6,8,5,2,20,2,8,29,3,3,27,4,4,5,17,4,17,1,13,23,2,3,29,18,22,2,7,2,22,9
2,Boston Celtics,2022,14,0,2,13,18,15,8,9,14,18,23,6,14,24,2,11,4,5,14,19,2,13,5,12,2,3,15,1,9,14,1,4,12,1,10,9,23,19,10,12,1,17,11,13,20,1,6,23,2,2,2,27,1,7,2,24,22,8,9,13,8,15,1,11,11,9,10
3,Miami Heat,2022,11,0,5,22,28,13,6,14,1,27,26,17,12,19,5,18,18,22,8,16,30,28,25,17,5,1,1,4,22,27,2,1,1,17,23,20,20,5,2,2,4,14,4,5,3,4,3,27,6,6,6,26,6,10,5,28,12,10,5,28,12,6,12,3,9,27,4
4,Dallas Mavericks,2022,9,0,19,25,27,18,10,8,19,23,27,5,22,22,16,24,20,24,25,29,28,3,14,24,19,6,3,12,1,3,4,15,14,13,7,8,9,4,17,11,6,4,1,23,10,2,5,26,7,7,8,25,8,15,6,30,14,5,13,8,24,18,6,15,8,10,3
5,Milwaukee Bucks,2022,7,0,19,6,8,12,4,5,5,17,20,8,8,10,15,15,1,2,18,13,27,12,3,3,19,21,28,11,30,30,19,6,7,18,2,5,2,10,18,16,25,12,9,25,17,19,6,23,8,8,7,23,7,3,14,7,9,6,6,10,15,10,19,27,3,2,11
6,Phoenix Suns,2022,7,0,24,1,6,1,21,26,9,1,3,4,24,27,7,19,5,10,4,6,22,7,19,5,24,7,16,3,4,10,5,10,21,3,17,23,6,21,14,19,2,15,3,6,24,8,1,30,1,1,1,30,2,4,3,9,29,27,4,5,19,26,3,9,13,16,19
7,Memphis Grizzlies,2022,6,0,13,2,1,19,23,23,17,2,1,23,15,7,28,1,8,1,6,1,1,9,17,2,13,12,17,10,12,12,11,17,22,7,18,19,13,11,9,7,16,7,30,3,14,12,2,29,5,5,4,28,5,5,4,3,19,28,23,4,1,23,10,4,10,15,21
8,Philadelphia 76ers,2022,6,0,8,23,30,16,22,27,7,16,16,21,1,3,1,30,19,29,21,9,6,4,12,18,8,9,8,15,2,6,9,19,16,12,12,13,11,13,15,17,7,1,13,19,19,8,6,23,9,9,10,19,9,12,12,25,2,22,16,7,29,1,11,16,17,13,2
9,New Orleans Pelicans,2022,2,0,19,19,16,23,28,24,27,8,7,20,2,6,10,3,24,11,13,7,26,17,14,21,19,11,4,24,22,18,26,8,5,24,14,12,24,1,4,3,15,11,16,9,4,13,20,11,21,21,21,8,21,19,20,21,6,24,24,17,3,3,26,8,7,18,24
10,Minnesota Timberwolves,2022,2,0,13,10,5,22,1,1,12,21,24,14,4,8,14,6,25,16,7,3,3,21,29,1,13,10,11,16,25,26,12,7,6,22,30,30,21,24,21,23,27,8,19,1,2,24,12,18,10,10,9,22,10,8,13,1,10,3,12,14,7,13,17,2,27,30,20
11,Utah Jazz,2022,2,0,24,15,25,6,2,2,11,26,30,2,6,4,20,10,3,3,27,20,11,16,10,7,24,13,21,9,14,13,13,18,23,6,1,1,4,9,1,1,5,19,8,29,8,10,9,22,3,3,3,29,3,1,9,22,4,1,2,21,5,4,7,29,5,1,8
12,Toronto Raptors,2022,2,0,5,14,4,25,19,19,20,13,5,28,23,21,23,2,30,8,29,2,17,2,13,20,5,5,2,17,16,15,18,5,4,19,13,11,26,16,12,14,20,2,25,2,23,7,10,20,11,11,12,12,11,14,10,27,25,23,27,2,2,25,18,1,24,20,30
13,Denver Nuggets,2022,1,0,8,8,23,2,14,13,16,11,21,1,19,23,8,25,9,17,3,18,29,26,20,10,8,18,12,21,10,11,10,23,13,28,11,14,3,7,5,4,22,20,17,26,13,14,10,20,12,12,11,24,12,6,15,19,20,14,1,26,20,17,20,26,6,12,15
14,Atlanta Hawks,2022,1,0,30,11,13,7,11,18,2,14,13,18,3,11,4,17,17,20,15,22,23,1,7,6,30,24,19,23,21,17,25,21,17,21,6,5,27,13,11,13,23,5,10,27,6,21,16,14,14,14,14,16,14,2,26,20,11,18,8,1,16,5,24,28,16,8,17
15,Chicago Bulls,2022,1,0,24,7,20,3,29,30,4,4,4,16,9,17,3,29,22,28,19,23,25,6,8,13,24,22,13,26,6,2,27,24,25,15,22,15,28,2,13,9,17,6,24,24,28,16,12,18,20,20,20,15,20,13,22,15,17,30,10,9,28,9,22,21,4,21,1
16,Brooklyn Nets,2022,0,0,19,5,12,4,24,28,10,5,6,15,10,14,6,14,15,13,10,24,5,17,22,9,19,15,24,7,17,22,8,16,19,9,26,25,25,27,6,15,9,22,21,18,16,18,14,16,15,15,15,14,15,11,19,11,18,25,11,19,10,12,9,25,25,23,12
